instance,num_ants,alpha,beta,evaporation_rate,version,cost,duration
100_20_65_9.def,1,1.0,1.0,0.5,2,60954,924
100_20_65_9.def,1,1.0,1.0,0.9,1,129205,179
100_20_65_9.def,1,1.0,1.0,0.9,2,60961,924
100_20_65_9.def,30,1.0,5.0,0.1,1,128072,178
100_20_65_9.def,30,1.0,5.0,0.1,2,60959,924
100_20_65_9.def,30,1.0,5.0,0.5,1,128456,177
100_20_65_9.def,30,1.0,5.0,0.5,2,60959,924
100_20_65_9.def,30,1.0,5.0,0.9,1,134812,171
100_20_65_9.def,30,1.0,5.0,0.9,2,60967,924
100_20_65_9.def,30,5.0,1.0,0.1,1,124378,149
100_20_65_9.def,30,5.0,1.0,0.1,2,61015,978
100_20_65_9.def,30,5.0,1.0,0.5,1,129168,161
100_20_65_9.def,30,5.0,1.0,0.5,2,62445,970
100_20_65_9.def,30,5.0,1.0,0.9,1,126880,151
100_20_65_9.def,30,5.0,1.0,0.9,2,70254,884
100_20_65_9.def,30,1.0,1.0,0.1,1,127365,168
100_20_65_9.def,30,1.0,1.0,0.1,2,60967,924
100_20_65_9.def,30,1.0,1.0,0.5,1,127120,163
100_20_65_9.def,30,1.0,1.0,0.5,2,60960,945
100_20_65_9.def,30,1.0,1.0,0.9,1,128042,154
100_20_65_9.def,30,1.0,1.0,0.9,2,61371,999
100_5_64_9.def,1,1.0,5.0,0.1,1,105583,598
100_5_64_9.def,1,1.0,5.0,0.1,2,74200,1504
100_5_64_9.def,1,1.0,5.0,0.5,1,107957,695
100_5_64_9.def,1,1.0,5.0,0.5,2,74200,1504
100_5_64_9.def,1,1.0,5.0,0.9,1,109085,582
100_5_64_9.def,1,1.0,5.0,0.9,2,74200,1504
100_5_64_9.def,1,5.0,1.0,0.1,1,106782,554
100_5_64_9.def,1,5.0,1.0,0.1,2,74200,1504
100_5_64_9.def,1,5.0,1.0,0.5,1,106539,561
100_5_64_9.def,1,5.0,1.0,0.5,2,74200,1504
100_5_64_9.def,1,5.0,1.0,0.9,1,105994,514
100_5_64_9.def,1,5.0,1.0,0.9,2,74200,1485
100_5_64_9.def,1,1.0,1.0,0.1,1,103439,534
100_5_64_9.def,1,1.0,1.0,0.1,2,74200,1504
100_5_64_9.def,1,1.0,1.0,0.5,1,105777,590
100_5_64_9.def,1,1.0,1.0,0.5,2,74200,1504
100_5_64_9.def,1,1.0,1.0,0.9,1,102774,542
100_5_64_9.def,1,1.0,1.0,0.9,2,74200,1504
100_5_64_9.def,30,1.0,5.0,0.1,1,103211,544
100_5_64_9.def,30,1.0,5.0,0.1,2,74199,1504
100_5_64_9.def,30,1.0,5.0,0.5,1,105257,547
100_5_64_9.def,30,1.0,5.0,0.5,2,74200,1486
100_5_64_9.def,30,1.0,5.0,0.9,1,104732,558
100_5_64_9.def,30,1.0,5.0,0.9,2,74200,1504
100_5_64_9.def,30,5.0,1.0,0.1,1,106096,491
100_5_64_9.def,30,5.0,1.0,0.1,2,74200,1504
100_5_64_9.def,30,5.0,1.0,0.5,1,103669,474
100_5_64_9.def,30,5.0,1.0,0.5,2,74200,1504
100_5_64_9.def,30,5.0,1.0,0.9,1,108776,505
100_5_64_9.def,30,5.0,1.0,0.9,2,74386,1507
100_5_64_9.def,30,1.0,1.0,0.1,1,104959,504
100_5_64_9.def,30,1.0,1.0,0.1,2,74199,1486
100_5_64_9.def,30,1.0,1.0,0.5,1,107331,486
100_5_64_9.def,30,1.0,1.0,0.5,2,74199,1504
100_5_64_9.def,30,1.0,1.0,0.9,1,107791,498
100_5_64_9.def,30,1.0,1.0,0.9,2,74199,1504
200_10_50_9.def,1,1.0,5.0,0.1,1,253532,527
200_10_50_9.def,1,1.0,5.0,0.1,2,106986,2895
200_10_50_9.def,1,1.0,5.0,0.5,1,251156,539
200_10_50_9.def,1,1.0,5.0,0.5,2,106986,2895
200_10_50_9.def,1,1.0,5.0,0.9,1,253427,512
200_10_50_9.def,1,1.0,5.0,0.9,2,106986,2895
200_10_50_9.def,1,5.0,1.0,0.1,1,249849,585
200_10_50_9.def,1,5.0,1.0,0.1,2,106986,2895
200_10_50_9.def,1,5.0,1.0,0.5,1,256151,513
200_10_50_9.def,1,5.0,1.0,0.5,2,106986,2895
